XPath,5169.2.xml
/eml:eml/@packageId,1
/eml:eml/@system,1
/eml:eml/@xsi:schemaLocation,1
/eml:eml/access,5
/eml:eml/access/@authSystem,1
/eml:eml/access/@order,1
/eml:eml/access/@scope,1
/eml:eml/access/@system,1
/eml:eml/access/allow/permission,2
/eml:eml/access/allow/principal,2
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,6
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,6
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,3
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,6
/eml:eml/dataset/abstract,1
/eml:eml/dataset/abstract/para,1
/eml:eml/dataset/additionalInfo,1
/eml:eml/dataset/additionalInfo/para,7
/eml:eml/dataset/additionalInfo/para/emphasis,2
/eml:eml/dataset/alternateIdentifier,2
/eml:eml/dataset/alternateIdentifier/@system,1
/eml:eml/dataset/associatedParty,3
/eml:eml/dataset/associatedParty/address/administrativeArea,1
/eml:eml/dataset/associatedParty/address/city,3
/eml:eml/dataset/associatedParty/address/country,1
/eml:eml/dataset/associatedParty/address/deliveryPoint,3
/eml:eml/dataset/associatedParty/address/postalCode,2
/eml:eml/dataset/associatedParty/electronicMailAddress,4
/eml:eml/dataset/associatedParty/individualName/givenName,6
/eml:eml/dataset/associatedParty/individualName/surName,3
/eml:eml/dataset/associatedParty/phone,4
/eml:eml/dataset/associatedParty/role,3
/eml:eml/dataset/contact,1
/eml:eml/dataset/contact/address/administrativeArea,1
/eml:eml/dataset/contact/address/city,1
/eml:eml/dataset/contact/address/deliveryPoint,3
/eml:eml/dataset/contact/address/postalCode,1
/eml:eml/dataset/contact/electronicMailAddress,1
/eml:eml/dataset/contact/onlineUrl,1
/eml:eml/dataset/contact/phone,1
/eml:eml/dataset/contact/phone/@phonetype,1
/eml:eml/dataset/contact/positionName,1
/eml:eml/dataset/coverage/geographicCoverage,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1
/eml:eml/dataset/coverage/taxonomicCoverage,1
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,1
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,1
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,2
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,5
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,3
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,18
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,3
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,10
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,2
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,15
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,2
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,48
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,2
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,69
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,2
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,166
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,1
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,178
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,1
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,3
/eml:eml/dataset/coverage/temporalCoverage,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1
/eml:eml/dataset/creator,4
/eml:eml/dataset/creator/address/administrativeArea,2
/eml:eml/dataset/creator/address/city,2
/eml:eml/dataset/creator/address/country,1
/eml:eml/dataset/creator/address/deliveryPoint,2
/eml:eml/dataset/creator/address/postalCode,2
/eml:eml/dataset/creator/electronicMailAddress,2
/eml:eml/dataset/creator/individualName/givenName,4
/eml:eml/dataset/creator/individualName/surName,2
/eml:eml/dataset/creator/phone,2
/eml:eml/dataset/dataTable/@id,6
/eml:eml/dataset/dataTable/alternateIdentifier,6
/eml:eml/dataset/dataTable/attributeList,6
/eml:eml/dataset/dataTable/attributeList/attribute/@id,101
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,50
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,50
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum,4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum/@exclusive,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum,3
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum/@exclusive,1
