Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Description,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2017,3254.9.xml,1.0,6.0,15.0,3.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,700.0,0.0,0.0,0.0,1.0
2017,3976.1.xml,1.0,12.0,36.0,6.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,648.0,0.0,0.0,0.0,0.0
2017,4019.14.xml,1.0,3.0,20.0,2.0,2.0,2.0,1.0,2.0,1.0,9.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,10.0,1.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,861.0,1.0,1.0,1.0,1.0
2017,4543.4.xml,1.0,2.0,11.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,545.0,1.0,1.0,1.0,1.0
2017,4780.3.xml,1.0,8.0,20.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1550.0,1.0,1.0,1.0,1.0
2017,4781.2.xml,1.0,4.0,28.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2576.0,1.0,1.0,1.0,1.0
2017,4792.3.xml,1.0,4.0,15.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,430.0,1.0,1.0,1.0,1.0
2017,5216.2.xml,1.0,4.0,28.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3684.0,1.0,1.0,1.0,1.0
2017,5216.4.xml,1.0,4.0,28.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3687.0,1.0,1.0,1.0,1.0
2017,5275.3.xml,1.0,4.0,17.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,615.0,0.0,0.0,0.0,1.0
2017,5370.3.xml,1.0,8.0,15.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2079.0,1.0,1.0,1.0,1.0
2017,5453.2.xml,1.0,10.0,26.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,473.0,0.0,0.0,0.0,0.0
