XPath,AND_2005_EML,AND_2006_EML,AND_2007_EML,AND_2008_EML,AND_2009_EML,AND_2010_EML,AND_2011_EML,AND_2012_EML,AND_2013_EML,AND_2014_EML,AND_2015_EML,AND_2016_EML,AND_2017_EML,AND_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.67,0.57,0.47,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.48,0.57,0.68,0.33,0.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.48,0.57,0.68,0.33,0.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.48,0.57,0.68,0.33,0.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.97,1.14,1.37,0.67,0.0,2.0,1.33,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,0.97,1.14,1.37,0.67,0.0,2.0,1.33,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.15,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.02,1.42,3.73,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.8,1.14,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2.5,4.0,2.32,1.83,0.0,8.0,0.67,2.0,5.56,4.0,3.72,6.61,3.73,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2.5,4.0,2.32,1.83,0.0,8.0,0.0,2.0,5.56,4.0,3.69,6.0,3.27,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2.5,4.0,2.32,1.83,0.0,8.0,0.67,2.0,5.56,4.0,3.72,6.61,3.73,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2.5,4.0,2.32,1.83,0.0,8.0,0.0,2.0,5.56,4.0,3.69,6.61,3.73,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2.5,4.0,2.32,1.83,0.0,8.0,0.67,2.0,5.56,4.0,3.72,6.61,3.73,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2.5,4.0,2.32,1.83,0.0,8.0,0.67,2.0,5.56,4.0,3.72,6.61,3.73,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/@convention,0.21,0.36,0.05,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,0.58,0.71,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,0.58,0.71,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,0.58,0.71,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@name,0.58,0.71,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@parentSI,0.58,0.71,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@unitType,0.58,0.71,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/stmml:description,0.58,0.21,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.67,0.57,0.47,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract,0.08,0.14,0.16,0.33,0.0,1.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.28,0.5,0.47,0.0,0.0,0.0,0.67,0.67,0.67,0.92,1.07,1.24,1.0,1.0
/eml:eml/dataset/abstract/para/subscript,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
/eml:eml/dataset/abstract/para/superscript,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para,0.62,0.57,0.26,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@authSystem,0.36,0.43,0.32,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.36,0.43,0.32,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.36,0.43,0.32,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.73,0.86,0.63,1.33,2.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.73,0.86,0.63,1.33,2.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo,0.06,0.14,0.16,0.0,0.0,0.0,0.0,0.33,0.22,0.0,0.02,0.03,0.0,0.0
/eml:eml/dataset/additionalInfo/para,2.19,6.29,1.74,0.0,0.0,0.0,0.0,1.33,0.67,1.33,4.39,8.91,0.2,7.0
/eml:eml/dataset/additionalInfo/para/emphasis,0.18,0.36,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.4,1.0,0.07,2.0
/eml:eml/dataset/additionalInfo/para/itemizedlist/listitem/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.85,0.86,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.87,2.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1.0
/eml:eml/dataset/associatedParty/@scope,2.44,2.43,0.95,6.17,4.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/@scope,2.44,2.43,0.95,6.17,4.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,3.8,5.64,2.0,8.33,4.0,5.0,1.67,4.0,1.89,4.0,3.44,5.24,3.73,3.0
/eml:eml/dataset/associatedParty/address/city,3.73,5.64,2.16,8.33,4.0,5.0,1.67,4.0,1.89,3.67,3.41,5.18,3.67,3.0
/eml:eml/dataset/associatedParty/address/country,3.75,5.5,2.11,7.33,3.0,4.0,1.67,3.0,1.89,3.67,3.37,4.94,2.6,3.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,3.58,5.57,2.11,7.0,4.0,4.0,1.67,4.0,1.67,3.33,3.31,4.73,3.47,3.0
/eml:eml/dataset/associatedParty/address/postalCode,3.57,5.64,2.0,7.83,4.0,5.0,1.67,4.0,1.89,3.5,3.33,4.94,3.67,3.0
/eml:eml/dataset/associatedParty/electronicMailAddress,4.86,7.71,2.84,9.17,4.0,6.0,2.33,4.0,4.11,5.25,4.43,6.67,4.93,5.0
/eml:eml/dataset/associatedParty/individualName/givenName,8.05,11.79,4.26,16.33,5.0,10.0,3.33,7.0,5.0,7.58,8.86,10.55,8.07,6.0
/eml:eml/dataset/associatedParty/individualName/surName,4.42,6.64,2.37,9.83,4.0,5.0,1.67,4.0,3.33,4.42,4.79,5.88,4.67,3.0
/eml:eml/dataset/associatedParty/onlineUrl,0.6,2.21,0.68,1.5,1.0,1.0,0.0,1.0,1.0,0.67,0.59,1.3,1.53,0.0
/eml:eml/dataset/associatedParty/phone,4.11,6.57,2.16,4.33,4.0,4.0,1.67,6.0,2.0,3.33,3.63,5.48,3.8,4.0
/eml:eml/dataset/associatedParty/phone/@phonetype,2.87,2.79,1.0,6.17,4.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/role,4.42,6.64,2.37,9.83,4.0,5.0,1.67,4.0,3.33,4.42,4.79,5.88,4.67,3.0
