Collection,Record,Resource Quality Description,Unknown
2005,2719.2.xml,0.0,7037.0
2005,2720.2.xml,0.0,1558.0
2005,2720.3.xml,0.0,1566.0
2005,2720.8.xml,0.0,2852.0
2005,2721.2.xml,0.0,538.0
2005,2721.6.xml,0.0,1000.0
2005,2722.2.xml,0.0,187.0
2005,2722.5.xml,0.0,340.0
2005,2722.6.xml,0.0,375.0
2005,2723.5.xml,0.0,230.0
2005,2724.2.xml,0.0,130.0
2005,2724.3.xml,0.0,138.0
2005,2724.5.xml,0.0,277.0
2005,2725.2.xml,0.0,215.0
2005,2725.5.xml,0.0,363.0
2005,2725.6.xml,0.0,427.0
2005,2726.2.xml,0.0,189.0
2005,2726.5.xml,0.0,350.0
2005,2726.6.xml,0.0,347.0
2005,2727.2.xml,0.0,494.0
2005,2727.3.xml,0.0,502.0
2005,2727.6.xml,0.0,694.0
2005,2727.7.xml,0.0,858.0
2005,2728.2.xml,0.0,176.0
2005,2728.3.xml,0.0,184.0
2005,2728.7.xml,0.0,815.0
2005,2730.4.xml,0.0,377.0
2005,2730.7.xml,0.0,851.0
2005,2731.2.xml,0.0,271.0
2005,2732.6.xml,0.0,384.0
2005,2732.7.xml,0.0,645.0
2005,2733.2.xml,0.0,162.0
2005,2733.7.xml,0.0,523.0
2005,2739.3.xml,0.0,1836.0
2005,2742.6.xml,0.0,1934.0
2005,2742.7.xml,0.0,2643.0
2005,2745.4.xml,0.0,754.0
2005,3112.6.xml,0.0,408.0
2005,3114.5.xml,0.0,199.0
2005,3114.7.xml,0.0,383.0
2005,3116.6.xml,0.0,360.0
2005,3117.4.xml,0.0,209.0
2005,3119.4.xml,0.0,196.0
2005,3120.2.xml,0.0,158.0
2005,3120.5.xml,0.0,318.0
2005,3126.7.xml,0.0,522.0
2005,3128.2.xml,0.0,335.0
2005,3128.5.xml,0.0,465.0
2005,3129.4.xml,0.0,316.0
2005,3137.7.xml,0.0,267.0
2005,3140.7.xml,0.0,645.0
2005,3141.4.xml,0.0,240.0
2005,3141.7.xml,0.0,397.0
2005,3142.4.xml,0.0,226.0
2005,3142.7.xml,0.0,417.0
2005,3145.13.xml,0.0,1278.0
2005,3145.14.xml,0.0,1295.0
2005,3145.4.xml,0.0,574.0
2005,3146.2.xml,0.0,265.0
2005,3147.2.xml,0.0,334.0
2005,3147.5.xml,0.0,600.0
2005,3148.6.xml,0.0,553.0
2005,3161.2.xml,0.0,55.0
2005,3162.1.xml,0.0,47.0
2005,3162.2.xml,0.0,56.0
2005,3164.1.xml,0.0,42.0
2005,3164.3.xml,0.0,453.0
2005,3167.6.xml,0.0,735.0
2005,3168.8.xml,0.0,606.0
2005,3169.7.xml,0.0,539.0
2005,3173.1.xml,0.0,42.0
2005,3173.2.xml,0.0,51.0
2005,3176.6.xml,0.0,338.0
2005,3176.7.xml,0.0,373.0
2005,3178.3.xml,0.0,204.0
2005,3178.7.xml,0.0,357.0
2005,3179.6.xml,0.0,528.0
2005,3182.4.xml,0.0,557.0
2005,3182.5.xml,0.0,621.0
2005,3184.7.xml,0.0,450.0
2005,3185.4.xml,0.0,192.0
2005,3185.7.xml,0.0,372.0
2005,3186.6.xml,0.0,315.0
2005,3187.4.xml,0.0,715.0
2005,3189.10.xml,0.0,1792.0
2005,3189.5.xml,0.0,675.0
2005,3189.7.xml,0.0,1330.0
2005,3190.7.xml,0.0,1007.0
2005,3192.6.xml,0.0,709.0
2005,3192.7.xml,0.0,753.0
2005,3192.9.xml,0.0,4820.0
2005,3212.4.xml,0.0,1786.0
2005,3213.8.xml,0.0,1402.0
2005,3215.4.xml,0.0,717.0
2005,3216.5.xml,0.0,1213.0
2005,3217.5.xml,0.0,1502.0
2005,3222.11.xml,0.0,1100.0
2005,3222.14.xml,0.0,1185.0
2005,3222.18.xml,0.0,1626.0
2005,3222.21.xml,0.0,1639.0
2005,3222.22.xml,0.0,1707.0
2005,3222.23.xml,0.0,1712.0
2005,3222.7.xml,0.0,1070.0
2005,3222.8.xml,0.0,1095.0
2005,3230.4.xml,0.0,115.0
2005,3234.6.xml,0.0,259.0
2005,3237.3.xml,0.0,107.0
2005,3237.4.xml,0.0,107.0
2005,3238.5.xml,0.0,313.0
2005,3239.3.xml,0.0,122.0
2005,3239.4.xml,0.0,123.0
2005,3241.4.xml,0.0,108.0
2005,3252.2.xml,0.0,747.0
2005,3252.3.xml,0.0,755.0
2005,3256.4.xml,0.0,418.0
2005,3980.11.xml,1.0,1215.0
