Concept,2007#number,2008#number,2009#number,2010#number,2011#number,2012#number,2013#number,2014#number,2015#number,2016#number
Project Description,63%,43%,54%,27%,30%,40%,85%,72%,8%,17%
Project Name,67%,91%,74%,51%,66%,42%,45%,70%,43%,70%
Publication Date,83%,88%,93%,97%,88%,93%,99%,98%,99%,100%
Publisher,85%,60%,92%,59%,34%,52%,91%,98%,96%,69%
Publisher E-Mail,46%,37%,26%,23%,17%,26%,80%,60%,88%,19%
Publisher URL,46%,37%,26%,23%,17%,26%,80%,60%,88%,19%
Purpose,4%,1%,1%,0%,31%,0%,2%,25%,0%,7%
Related Resource Citation,63%,43%,54%,27%,30%,40%,85%,72%,8%,17%
Related Resource Identifier,5%,21%,10%,5%,8%,10%,26%,6%,1%,1%
Resource Access Constraints,69%,70%,80%,73%,92%,92%,100%,100%,100%,100%
Resource Contact,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Resource Creation/Revision Date,83%,88%,93%,97%,88%,93%,99%,98%,99%,100%
Resource Distribution,96%,96%,95%,82%,90%,53%,96%,90%,15%,95%
Resource Format,88%,62%,82%,50%,56%,87%,89%,60%,52%,92%
Resource Identifier,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Resource Identifier Type,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Resource Language,17%,16%,40%,2%,62%,17%,8%,15%,51%,55%
Resource Lineage,84%,65%,85%,52%,81%,88%,98%,79%,100%,93%
Resource Long Name,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Resource Quality Description,11%,27%,8%,5%,20%,9%,29%,14%,4%,9%
Resource Revision Date,9%,1%,1%,0%,0%,1%,24%,10%,0%,4%
Resource Status,69%,70%,80%,73%,92%,92%,100%,100%,100%,100%
Resource Title,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Resource Update Frequency,6%,2%,5%,0%,34%,8%,2%,34%,48%,6%
Resource Use Constraints,99%,90%,95%,70%,96%,62%,100%,99%,100%,97%
Resource on-line Link,96%,96%,95%,82%,90%,53%,96%,89%,15%,95%
Responsible Party Identifier,6%,0%,15%,2%,1%,2%,0%,2%,0%,2%
Responsible Party Identifier Type,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%
Rights,99%,90%,95%,70%,96%,62%,100%,99%,100%,97%
Security Constraints,69%,70%,80%,73%,92%,92%,100%,100%,100%,100%
Southernmost Latitude,96%,92%,99%,96%,84%,95%,96%,95%,98%,92%
Spatial Extent,96%,92%,99%,96%,84%,95%,96%,95%,98%,92%
Start Time,94%,99%,90%,80%,78%,97%,89%,95%,51%,90%
Supplemental Information,4%,5%,3%,1%,21%,4%,5%,28%,1%,20%
Taxonomic Extent,18%,9%,9%,5%,4%,20%,14%,15%,4%,8%
Temporal Extent,99%,100%,90%,80%,91%,99%,99%,98%,100%,91%
Temporal Keyword,4%,3%,0%,0%,1%,2%,0%,2%,1%,1%
Unknown,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Vertical Maximum,8%,7%,42%,18%,16%,8%,4%,6%,4%,48%
Vertical Minimum,8%,7%,42%,18%,16%,8%,4%,6%,4%,48%
Vertical Resolution,8%,7%,42%,18%,16%,8%,4%,6%,4%,48%
Westernmost Longitude,96%,92%,99%,96%,84%,95%,96%,95%,98%,92%
