XPath,2017-11_Re3data,2018-02_Re3data
/r3d:re3data/@xsi:schemaLocation,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:additionalName,82.15%,81.92%
/r3d:re3data/r3d:repository/r3d:additionalName/@language,82.15%,81.92%
/r3d:re3data/r3d:repository/r3d:aidSystem,18.20%,18.72%
/r3d:re3data/r3d:repository/r3d:api,44.49%,44.43%
/r3d:re3data/r3d:repository/r3d:api/@apiType,44.54%,44.48%
/r3d:re3data/r3d:repository/r3d:certificate,8.85%,9.06%
/r3d:re3data/r3d:repository/r3d:citationGuidelineURL,57.94%,58.13%
/r3d:re3data/r3d:repository/r3d:contentType,99.95%,99.95%
/r3d:re3data/r3d:repository/r3d:contentType/@contentTypeScheme,99.95%,99.95%
/r3d:re3data/r3d:repository/r3d:dataAccess/r3d:dataAccessRestriction,48.28%,48.13%
/r3d:re3data/r3d:repository/r3d:dataAccess/r3d:dataAccessType,99.85%,99.80%
/r3d:re3data/r3d:repository/r3d:dataLicense/r3d:dataLicenseName,99.95%,99.95%
/r3d:re3data/r3d:repository/r3d:dataLicense/r3d:dataLicenseURL,99.95%,99.95%
/r3d:re3data/r3d:repository/r3d:dataUpload/r3d:dataUploadRestriction,61.32%,61.92%
/r3d:re3data/r3d:repository/r3d:dataUpload/r3d:dataUploadType,99.19%,99.11%
/r3d:re3data/r3d:repository/r3d:dataUploadLicense/r3d:dataUploadLicenseName,26.95%,27.19%
/r3d:re3data/r3d:repository/r3d:dataUploadLicense/r3d:dataUploadLicenseURL,27.05%,27.24%
/r3d:re3data/r3d:repository/r3d:databaseAccess/r3d:databaseAccessRestriction,5.31%,5.42%
/r3d:re3data/r3d:repository/r3d:databaseAccess/r3d:databaseAccessType,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:databaseLicense/r3d:databaseLicenseName,20.68%,20.59%
/r3d:re3data/r3d:repository/r3d:databaseLicense/r3d:databaseLicenseURL,20.68%,20.59%
/r3d:re3data/r3d:repository/r3d:description,99.95%,99.95%
/r3d:re3data/r3d:repository/r3d:description/@language,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:endDate,3.99%,4.29%
/r3d:re3data/r3d:repository/r3d:enhancedPublication,97.98%,98.52%
