Concept,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abstract,94.00%,100.00%,98.80%,97.60%,96.40%,97.60%,100.00%,99.60%,100.00%,100.00%
Attribute Constraints,6.00%,0.80%,0,0,0.80%,1.60%,0,2.80%,0,3.20%
Attribute Definition,90.00%,71.60%,82.00%,52.40%,58.40%,86.80%,89.20%,59.60%,52.00%,92.40%
Attribute List,90.00%,71.60%,82.00%,52.40%,58.40%,86.80%,89.20%,59.60%,52.00%,92.40%
Author,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Author / Originator,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Author / Originator Email Address,51.20%,70.80%,30.80%,42.00%,11.60%,21.20%,32.40%,33.60%,40.00%,22.80%
Author / Originator Identifier,38.00%,36.80%,39.60%,47.60%,4.80%,32.00%,51.60%,33.20%,54.00%,18.40%
Author / Originator Identifier Type,0,0,0,0,0.40%,2.00%,0.40%,0,0,0
Author / Originator World Wide Web Address,67.20%,91.20%,74.40%,50.80%,66.00%,41.60%,44.80%,69.60%,43.20%,70.40%
Bounding Box,96.00%,91.60%,99.20%,96.00%,84.40%,95.20%,96.40%,95.20%,98.40%,91.60%
Contributor Name,73.60%,38.40%,45.60%,34.00%,22.40%,40.80%,80.40%,46.40%,10.00%,60.00%
Contributor Role,73.60%,38.40%,45.60%,34.00%,22.40%,40.80%,80.40%,46.40%,10.00%,60.00%
Distribution Format,87.60%,61.60%,82.00%,50.00%,56.00%,86.80%,89.20%,59.60%,52.00%,92.40%
Easternmost Longitude,96.00%,91.60%,99.20%,96.00%,84.40%,95.20%,96.40%,95.20%,98.40%,91.60%
End Time,95.20%,99.20%,89.60%,80.40%,78.40%,97.20%,89.20%,94.80%,51.20%,89.60%
Entity Type Definition,86.00%,69.60%,81.20%,37.20%,46.40%,47.60%,86.40%,58.80%,51.60%,89.60%
Entity and Attribute Information,86.00%,69.60%,81.20%,37.20%,46.40%,47.60%,86.40%,58.80%,51.60%,89.60%
Instrument,10.80%,26.80%,22.40%,6.00%,12.80%,9.20%,26.00%,17.60%,4.00%,4.40%
Keyword,99.60%,94.00%,100.00%,97.20%,90.80%,97.20%,100.00%,98.40%,100.00%,100.00%
Keyword Type,18.80%,40.80%,44.00%,61.20%,51.60%,59.20%,18.40%,46.00%,88.80%,32.40%
Keyword Vocabulary,46.40%,38.80%,72.80%,17.20%,67.20%,34.00%,48.80%,67.20%,12.00%,83.20%
Maintenance,76.00%,52.80%,43.20%,34.40%,66.40%,40.40%,85.60%,88.80%,56.00%,60.80%
Metadata Access Constraints,68.80%,69.60%,80.40%,72.80%,91.60%,92.00%,100.00%,100.00%,100.00%,100.00%
Metadata Contact,76.80%,59.20%,44.40%,46.00%,32.00%,81.20%,88.00%,90.80%,94.80%,56.80%
Metadata Modified Date,9.20%,0.80%,1.20%,0,0,0.80%,24.40%,10.40%,0.40%,4.00%
Metadata Use Constraints,68.80%,69.60%,80.40%,72.80%,91.60%,92.00%,100.00%,100.00%,100.00%,100.00%
Northernmost Latitude,96.00%,91.60%,99.20%,96.00%,84.40%,95.20%,96.40%,95.20%,98.40%,91.60%
Number of Records,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Organization Name,88.40%,90.00%,99.60%,100.00%,98.00%,99.20%,100.00%,100.00%,100.00%,100.00%
Originating Organization,78.80%,81.60%,73.60%,63.60%,87.20%,53.20%,96.40%,66.00%,92.40%,58.40%
Paleo Temporal Coverage,0.80%,0,0,0,0,0,0,0,0,0
Parent Identifier,4.80%,21.20%,9.60%,4.80%,8.40%,9.60%,25.60%,6.40%,1.20%,0.80%
Place Keyword,14.80%,11.20%,16.80%,23.60%,42.00%,13.20%,14.40%,40.00%,86.00%,19.60%
Process Step,83.60%,65.20%,85.20%,51.60%,80.80%,88.00%,97.60%,79.20%,99.60%,92.80%
