XPath,Collection,XPathCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2007_EML,250,250,1.0,100.00%
/eml/@packageId,2007_EML,250,250,1.0,100.00%
/eml/@scope,2007_EML,161,161,0.64,64.40%
/eml/@system,2007_EML,250,250,1.0,100.00%
/eml/@xsi:schemaLocation,2007_EML,250,250,1.0,100.00%
/eml/access,2007_EML,860,172,3.44,68.80%
/eml/access/@authSystem,2007_EML,172,172,0.69,68.80%
/eml/access/@order,2007_EML,172,172,0.69,68.80%
/eml/access/@scope,2007_EML,162,162,0.65,64.80%
/eml/access/allow/permission,2007_EML,344,172,1.38,68.80%
/eml/access/allow/principal,2007_EML,344,172,1.38,68.80%
/eml/additionalMetadata/additionalDataset/DatasetDistributionTypeandRestrictions,2007_EML,12,12,0.05,4.80%
/eml/additionalMetadata/additionalDataset/LTERsites/sitename,2007_EML,6,6,0.02,2.40%
/eml/additionalMetadata/additionalDataset/addDistribution/submissionDate,2007_EML,12,12,0.05,4.80%
/eml/additionalMetadata/additionalDataset/datasetInfoManagementNotes/notes,2007_EML,10,10,0.04,4.00%
/eml/additionalMetadata/additionalDataset/datasetSubmissionNotes/notes,2007_EML,11,11,0.04,4.40%
/eml/additionalMetadata/additionalDataset/projectPermits/permit,2007_EML,2,2,0.01,0.80%
/eml/additionalMetadata/additionalDataset/researchType,2007_EML,12,12,0.05,4.80%
/eml/additionalMetadata/metadata/additionalClassifications/researchTopic,2007_EML,6,4,0.02,1.60%
/eml/additionalMetadata/metadata/additionalClassifications/status,2007_EML,4,4,0.02,1.60%
/eml/additionalMetadata/metadata/additionalClassifications/studyType,2007_EML,4,4,0.02,1.60%
/eml/additionalMetadata/metadata/additionalLinks/url,2007_EML,3,3,0.01,1.20%
/eml/additionalMetadata/metadata/additionalLinks/url/@name,2007_EML,3,3,0.01,1.20%
/eml/additionalMetadata/metadata/localtags/system,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/localtags/weight,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/ns2:unitList/@convention,2007_EML,5,5,0.02,2.00%
/eml/additionalMetadata/metadata/ns2:unitList/@xsi:schemaLocation,2007_EML,22,22,0.09,8.80%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@abbreviation,2007_EML,61,19,0.24,7.60%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@constantToSI,2007_EML,26,18,0.1,7.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@id,2007_EML,159,43,0.64,17.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@multiplierToSI,2007_EML,63,27,0.25,10.80%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@name,2007_EML,149,42,0.6,16.80%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@parentSI,2007_EML,82,27,0.33,10.80%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@unitType,2007_EML,106,32,0.42,12.80%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/ns2:description,2007_EML,141,40,0.56,16.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/@id,2007_EML,2,1,0.01,0.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/@name,2007_EML,2,1,0.01,0.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/ns2:dimension/@name,2007_EML,2,1,0.01,0.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/ns2:dimension/@power,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@abbreviation,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@constantToSI,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@id,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@multiplierToSI,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@name,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@parentSI,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/@unitType,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/ns2:unit/ns2:description,2007_EML,1,1,0.0,0.40%
/eml/additionalMetadata/metadata/unitList/unit/@abbreviation,2007_EML,9,3,0.04,1.20%
/eml/additionalMetadata/metadata/unitList/unit/@id,2007_EML,161,83,0.64,33.20%
/eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,2007_EML,5,3,0.02,1.20%
/eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2007_EML,78,44,0.31,17.60%
/eml/additionalMetadata/metadata/unitList/unit/@name,2007_EML,102,46,0.41,18.40%
/eml/additionalMetadata/metadata/unitList/unit/@parentSI,2007_EML,71,46,0.28,18.40%
/eml/additionalMetadata/metadata/unitList/unit/@unitType,2007_EML,92,46,0.37,18.40%
/eml/additionalMetadata/metadata/unitList/unit/description,2007_EML,102,46,0.41,18.40%
/eml/additionalMetadata/ns2:unitList/@convention,2007_EML,6,6,0.02,2.40%
/eml/additionalMetadata/ns2:unitList/@xsi:schemaLocation,2007_EML,6,6,0.02,2.40%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@constantToSI,2007_EML,6,6,0.02,2.40%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@id,2007_EML,19,6,0.08,2.40%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@multiplierToSI,2007_EML,13,6,0.05,2.40%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@name,2007_EML,19,6,0.08,2.40%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@parentSI,2007_EML,2,2,0.01,0.80%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@unitType,2007_EML,14,6,0.06,2.40%
/eml/additionalMetadata/ns2:unitList/ns2:unit/ns2:description,2007_EML,19,6,0.08,2.40%
/eml/additionalMetadata/unitList/unit/@abbreviation,2007_EML,15,6,0.06,2.40%
/eml/additionalMetadata/unitList/unit/@id,2007_EML,79,31,0.32,12.40%
/eml/additionalMetadata/unitList/unit/@multiplierToSI,2007_EML,25,13,0.1,5.20%
/eml/additionalMetadata/unitList/unit/@name,2007_EML,46,19,0.18,7.60%
/eml/additionalMetadata/unitList/unit/@parentSI,2007_EML,25,13,0.1,5.20%
/eml/additionalMetadata/unitList/unit/@unitType,2007_EML,41,18,0.16,7.20%
/eml/additionalMetadata/unitList/unit/description,2007_EML,48,19,0.19,7.60%
/eml/dataset/@id,2007_EML,26,26,0.1,10.40%
/eml/dataset/@scope,2007_EML,90,90,0.36,36.00%
/eml/dataset/@system,2007_EML,1,1,0.0,0.40%
/eml/dataset/abstract,2007_EML,235,235,0.94,94.00%
/eml/dataset/abstract/para,2007_EML,218,210,0.87,84.00%
/eml/dataset/abstract/para/literalLayout,2007_EML,10,10,0.04,4.00%
/eml/dataset/abstract/para/superscript,2007_EML,3,3,0.01,1.20%
/eml/dataset/abstract/section/para,2007_EML,18,13,0.07,5.20%
