Concept,2008_EML,2009_EML,2010_EML
Abstract,100.00%,100.00%,98.00%
Attribute Constraints,1.00%,0,0
Attribute Definition,69.00%,86.00%,54.00%
Attribute List,69.00%,86.00%,54.00%
Author,100.00%,100.00%,100.00%
Author / Originator,100.00%,100.00%,100.00%
Author / Originator Email Address,71.00%,25.00%,46.00%
Author / Originator Identifier,38.00%,44.00%,55.00%
Author / Originator World Wide Web Address,94.00%,75.00%,53.00%
Bounding Box,94.00%,100.00%,97.00%
Contributor Name,35.00%,46.00%,36.00%
Contributor Role,35.00%,46.00%,36.00%
Distribution Format,61.00%,86.00%,52.00%
Easternmost Longitude,94.00%,100.00%,97.00%
End Time,99.00%,88.00%,86.00%
Entity Type Definition,68.00%,84.00%,38.00%
Entity and Attribute Information,68.00%,84.00%,38.00%
Instrument,26.00%,25.00%,6.00%
Keyword,94.00%,100.00%,97.00%
Keyword Type,43.00%,45.00%,61.00%
Keyword Vocabulary,38.00%,70.00%,18.00%
Maintenance,54.00%,39.00%,36.00%
Metadata Access Constraints,71.00%,78.00%,77.00%
Metadata Contact,61.00%,43.00%,49.00%
Metadata Modified Date,1.00%,1.00%,0
Metadata Use Constraints,71.00%,78.00%,77.00%
Northernmost Latitude,94.00%,100.00%,97.00%
Number of Records,100.00%,100.00%,100.00%
Organization Name,92.00%,100.00%,100.00%
Originating Organization,84.00%,78.00%,66.00%
Parent Identifier,22.00%,9.00%,4.00%
Place Keyword,10.00%,22.00%,20.00%
Process Step,62.00%,89.00%,53.00%
Project Description,45.00%,63.00%,30.00%
Project Name,94.00%,75.00%,53.00%
Publication Date,91.00%,91.00%,97.00%
Publisher,60.00%,96.00%,55.00%
Publisher E-Mail,40.00%,32.00%,24.00%
Publisher URL,40.00%,32.00%,24.00%
Purpose,1.00%,1.00%,0
Related Resource Citation,45.00%,63.00%,30.00%
Related Resource Identifier,22.00%,9.00%,4.00%
Resource Access Constraints,71.00%,78.00%,77.00%
Resource Contact,100.00%,100.00%,100.00%
Resource Creation/Revision Date,91.00%,91.00%,97.00%
Resource Distribution,96.00%,99.00%,82.00%
Resource Format,61.00%,86.00%,52.00%
Resource Identifier,100.00%,100.00%,100.00%
Resource Identifier Type,100.00%,100.00%,100.00%
Resource Language,19.00%,48.00%,3.00%
Resource Lineage,62.00%,89.00%,53.00%
Resource Long Name,100.00%,100.00%,100.00%
Resource Quality Description,26.00%,8.00%,4.00%
Resource Revision Date,1.00%,1.00%,0
Resource Status,71.00%,78.00%,77.00%
Resource Title,100.00%,100.00%,100.00%
Resource Update Frequency,3.00%,2.00%,0
Resource Use Constraints,92.00%,94.00%,75.00%
Resource on-line Link,96.00%,99.00%,82.00%
Responsible Party Identifier,0,17.00%,4.00%
Rights,92.00%,94.00%,75.00%
Security Constraints,71.00%,78.00%,77.00%
Southernmost Latitude,94.00%,100.00%,97.00%
Spatial Extent,94.00%,100.00%,97.00%
Start Time,99.00%,88.00%,86.00%
Supplemental Information,5.00%,2.00%,1.00%
Taxonomic Extent,8.00%,8.00%,5.00%
Temporal Extent,100.00%,88.00%,86.00%
Temporal Keyword,3.00%,0,1.00%
Unknown,100.00%,100.00%,100.00%
Vertical Maximum,6.00%,43.00%,12.00%
Vertical Minimum,6.00%,43.00%,12.00%
Vertical Resolution,6.00%,43.00%,12.00%
Westernmost Longitude,94.00%,100.00%,97.00%
