XPath,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
/eml:eml/dataset/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.22748815165876776,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.22748815165876776,0.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.9627329192546584,0.989247311827957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842
/eml:eml/dataset/abstract/section/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526316
/eml:eml/dataset/access/@authSystem,0.4782608695652174,0.3333333333333333,0.2,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.4782608695652174,0.3333333333333333,0.2,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.4782608695652174,0.3333333333333333,0.2,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.4782608695652174,0.3333333333333333,0.2,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.4782608695652174,0.3333333333333333,0.2,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
/eml:eml/dataset/additionalInfo/section/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.22748815165876776,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/title,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.22748815165876776,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6515151515151515,1.0
/eml:eml/dataset/associatedParty/@scope,0.5217391304347826,0.3010752688172043,0.2,0.25,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735
/eml:eml/dataset/associatedParty/address/city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735
/eml:eml/dataset/associatedParty/address/country,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735
/eml:eml/dataset/associatedParty/address/deliveryPoint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735
/eml:eml/dataset/associatedParty/address/postalCode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735
/eml:eml/dataset/associatedParty/electronicMailAddress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735
/eml:eml/dataset/associatedParty/individualName/givenName,0.968944099378882,0.8924731182795699,1.0,0.625,1.0,0.9333333333333332,0.38461538461538464,0.11666666666666667,0.5995260663507109,0.9285714285714286,0.8939393939393939,0.42105263157894735
/eml:eml/dataset/associatedParty/individualName/surName,0.968944099378882,0.8924731182795699,1.0,0.625,1.0,0.9333333333333332,0.9076923076923076,0.11666666666666667,0.6800947867298578,0.9285714285714286,0.8939393939393939,0.42105263157894735
/eml:eml/dataset/associatedParty/phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105
/eml:eml/dataset/associatedParty/phone/@phonetype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105
/eml:eml/dataset/associatedParty/role,0.968944099378882,0.8924731182795699,1.0,0.625,1.0,0.9333333333333332,0.9076923076923076,0.11666666666666667,0.6800947867298578,0.9285714285714286,0.8939393939393939,0.42105263157894735
/eml:eml/dataset/associatedParty/userId,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
/eml:eml/dataset/associatedParty/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
/eml:eml/dataset/contact/@id,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.05263157894736842
/eml:eml/dataset/contact/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/@system,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.05263157894736842
/eml:eml/dataset/contact/address/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/address/deliveryPoint,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684
