Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2013_EML,67,67,1.00,100.00%
Abstract,2013_EML,65,65,0.97,97.01%
Attribute Definition,2013_EML,261,25,3.90,37.31%
Attribute List,2013_EML,25,25,0.37,37.31%
Author,2013_EML,74,65,1.10,97.01%
Author / Originator,2013_EML,74,65,1.10,97.01%
Author / Originator Identifier,2013_EML,34,25,0.51,37.31%
Bounding Box,2013_EML,124,65,1.85,97.01%
Contributor Name,2013_EML,115,59,1.72,88.06%
Contributor Role,2013_EML,59,59,0.88,88.06%
Distribution Format,2013_EML,25,25,0.37,37.31%
Easternmost Longitude,2013_EML,122,65,1.82,97.01%
End Time,2013_EML,25,25,0.37,37.31%
Entity Type Definition,2013_EML,25,25,0.37,37.31%
Entity and Attribute Information,2013_EML,25,25,0.37,37.31%
Keyword,2013_EML,688,65,10.27,97.01%
Keyword Type,2013_EML,80,40,1.19,59.70%
Keyword Vocabulary,2013_EML,40,40,0.60,59.70%
Maintenance,2013_EML,65,65,0.97,97.01%
Metadata Access Constraints,2013_EML,65,65,0.97,97.01%
Metadata Contact,2013_EML,65,65,0.97,97.01%
Metadata Use Constraints,2013_EML,65,65,0.97,97.01%
Northernmost Latitude,2013_EML,124,65,1.85,97.01%
Organization Name,2013_EML,199,65,2.97,97.01%
Originating Organization,2013_EML,65,65,0.97,97.01%
Place Keyword,2013_EML,262,40,3.91,59.70%
Process Step,2013_EML,65,65,0.97,97.01%
Project Description,2013_EML,65,65,0.97,97.01%
Publication Date,2013_EML,65,65,0.97,97.01%
Publisher,2013_EML,64,64,0.96,95.52%
Publisher E-Mail,2013_EML,64,64,0.96,95.52%
Publisher URL,2013_EML,64,64,0.96,95.52%
Purpose,2013_EML,1,1,0.01,1.49%
Related Resource Citation,2013_EML,65,65,0.97,97.01%
Resource Access Constraints,2013_EML,65,65,0.97,97.01%
Resource Contact,2013_EML,65,65,0.97,97.01%
Resource Creation/Revision Date,2013_EML,65,65,0.97,97.01%
Resource Distribution,2013_EML,65,65,0.97,97.01%
Resource Format,2013_EML,25,25,0.37,37.31%
Resource Identifier,2013_EML,65,65,0.97,97.01%
Resource Identifier Type,2013_EML,65,65,0.97,97.01%
Resource Lineage,2013_EML,65,65,0.97,97.01%
Resource Long Name,2013_EML,65,65,0.97,97.01%
Resource Status,2013_EML,65,65,0.97,97.01%
Resource Title,2013_EML,65,65,0.97,97.01%
Resource Use Constraints,2013_EML,65,65,0.97,97.01%
Resource on-line Link,2013_EML,65,65,0.97,97.01%
Rights,2013_EML,65,65,0.97,97.01%
Security Constraints,2013_EML,65,65,0.97,97.01%
Southernmost Latitude,2013_EML,124,65,1.85,97.01%
Spatial Extent,2013_EML,125,65,1.87,97.01%
Start Time,2013_EML,25,25,0.37,37.31%
Taxonomic Extent,2013_EML,13,13,0.19,19.40%
Temporal Extent,2013_EML,65,65,0.97,97.01%
Unknown,2013_EML,12031,67,179.57,100.00%
Westernmost Longitude,2013_EML,122,65,1.82,97.01%
