Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Name,Publication Date,Publisher,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,10.7.xml,1.0,16.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,216.0,0.0,0.0,0.0,1.0
2015,11.7.xml,1.0,16.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,216.0,0.0,0.0,0.0,1.0
2015,116.9.xml,1.0,7.0,1.0,1.0,1.0,0.0,9.0,7.0,1.0,1.0,9.0,1.0,1.0,1.0,14.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,248.0,0.0,0.0,0.0,9.0
2015,119.4.xml,1.0,6.0,1.0,3.0,3.0,0.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,12.0,2.0,2.0,1.0,1.0,1.0,4.0,6.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,165.0,2.0,2.0,1.0,4.0
2015,120.4.xml,1.0,23.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,203.0,0.0,0.0,0.0,1.0
2015,121.4.xml,1.0,14.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.0,0.0,0.0,0.0,1.0
2015,122.3.xml,1.0,20.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,196.0,0.0,0.0,0.0,1.0
2015,123.5.xml,1.0,60.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,278.0,0.0,0.0,0.0,1.0
2015,124.4.xml,1.0,16.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229.0,0.0,0.0,0.0,1.0
2015,125.4.xml,1.0,13.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,249.0,0.0,0.0,0.0,1.0
2015,13.5.xml,1.0,26.0,1.0,1.0,1.0,0.0,25.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,25.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,1.0,1.0,258.0,24.0,24.0,1.0,25.0
2015,13.6.xml,1.0,26.0,1.0,1.0,1.0,0.0,25.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,25.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,1.0,1.0,258.0,24.0,24.0,1.0,25.0
2015,136.2.xml,1.0,5.0,1.0,1.0,1.0,0.0,21.0,4.0,1.0,1.0,21.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,21.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,1.0,1.0,202.0,21.0,21.0,1.0,21.0
2015,137.2.xml,1.0,43.0,1.0,1.0,1.0,0.0,21.0,4.0,1.0,1.0,21.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,21.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,1.0,1.0,204.0,21.0,21.0,1.0,21.0
2015,138.3.xml,1.0,23.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,1.0,14.0,1.0,1.0,1.0,30.0,2.0,2.0,1.0,1.0,1.0,14.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,1.0,1.0,270.0,13.0,13.0,1.0,14.0
2015,14.6.xml,1.0,10.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,1.0,228.0,0.0,0.0,0.0,9.0
2015,142.2.xml,1.0,17.0,1.0,10.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,8.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,322.0,1.0,1.0,1.0,1.0
2015,143.2.xml,1.0,16.0,1.0,10.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,8.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,319.0,1.0,1.0,1.0,1.0
2015,2.5.xml,1.0,10.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,15.0,2.0,2.0,1.0,1.0,1.0,9.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,265.0,0.0,0.0,0.0,9.0
