Collection,Record,/eml:eml/@packageId,/eml:eml/@system,/eml:eml/@xsi:schemaLocation,/eml:eml/access/@authSystem,/eml:eml/access/@order,/eml:eml/access/@scope,/eml:eml/access/@system,/eml:eml/access/allow/permission,/eml:eml/access/allow/principal,/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,/eml:eml/additionalMetadata/metadata/unitList/unit/@id,/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,/eml:eml/additionalMetadata/metadata/unitList/unit/@name,/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,/eml:eml/additionalMetadata/metadata/unitList/unit/description,/eml:eml/dataset/@scope,/eml:eml/dataset/abstract/para,/eml:eml/dataset/contact/address/administrativeArea,/eml:eml/dataset/contact/address/city,/eml:eml/dataset/contact/address/country,/eml:eml/dataset/contact/address/deliveryPoint,/eml:eml/dataset/contact/address/postalCode,/eml:eml/dataset/contact/electronicMailAddress,/eml:eml/dataset/contact/positionName,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,/eml:eml/dataset/creator/@id,/eml:eml/dataset/creator/address/administrativeArea,/eml:eml/dataset/creator/address/city,/eml:eml/dataset/creator/address/country,/eml:eml/dataset/creator/address/deliveryPoint,/eml:eml/dataset/creator/address/postalCode,/eml:eml/dataset/creator/electronicMailAddress,/eml:eml/dataset/creator/individualName/givenName,/eml:eml/dataset/creator/individualName/surName,/eml:eml/dataset/creator/onlineUrl,/eml:eml/dataset/creator/organizationName,/eml:eml/dataset/distribution/online/url,/eml:eml/dataset/distribution/online/url/@function,/eml:eml/dataset/intellectualRights/para,/eml:eml/dataset/keywordSet/keyword,/eml:eml/dataset/keywordSet/keyword/@keywordType,/eml:eml/dataset/otherEntity/@id,/eml:eml/dataset/otherEntity/@system,/eml:eml/dataset/otherEntity/entityDescription,/eml:eml/dataset/otherEntity/entityName,/eml:eml/dataset/otherEntity/entityType,/eml:eml/dataset/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName,/eml:eml/dataset/otherEntity/physical/distribution/online/onlineDescription,/eml:eml/dataset/otherEntity/physical/distribution/online/url,/eml:eml/dataset/otherEntity/physical/distribution/online/url/@function,/eml:eml/dataset/otherEntity/physical/objectName,/eml:eml/dataset/otherEntity/physical/size,/eml:eml/dataset/otherEntity/physical/size/@unit,/eml:eml/dataset/pubDate,/eml:eml/dataset/title
2008,115.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,118.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,119.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,120.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,121.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,156.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,159.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,160.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,161.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,162.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,163.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
