XPath,BES_2005_EML,BES_2006_EML,BES_2008_EML,BES_2009_EML,BES_2010_EML,BES_2011_EML,BES_2012_EML,BES_2013_EML,BES_2015_EML,BES_2016_EML,BES_2017_EML,BES_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.92,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.13,0.18,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.1,2.05,2.0
/eml:eml/access/allow/principal,0.13,0.18,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.1,2.05,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
