Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2015_EML,143,143,1.00,100.00%
Abstract,2015_EML,143,143,1.00,100.00%
Attribute Definition,2015_EML,2379,107,16.64,74.83%
Attribute List,2015_EML,176,107,1.23,74.83%
Author,2015_EML,145,143,1.01,100.00%
Author / Originator,2015_EML,145,143,1.01,100.00%
Author / Originator Email Address,2015_EML,18,18,0.13,12.59%
Author / Originator World Wide Web Address,2015_EML,135,133,0.94,93.01%
Bounding Box,2015_EML,36,36,0.25,25.17%
Contributor Name,2015_EML,1,1,0.01,0.70%
Contributor Role,2015_EML,1,1,0.01,0.70%
Distribution Format,2015_EML,107,107,0.75,74.83%
Easternmost Longitude,2015_EML,36,36,0.25,25.17%
End Time,2015_EML,138,138,0.97,96.50%
Entity Type Definition,2015_EML,180,107,1.26,74.83%
Entity and Attribute Information,2015_EML,180,107,1.26,74.83%
Keyword,2015_EML,1859,143,13.00,100.00%
Keyword Type,2015_EML,176,140,1.23,97.90%
Keyword Vocabulary,2015_EML,71,36,0.50,25.17%
Maintenance,2015_EML,9,9,0.06,6.29%
Metadata Access Constraints,2015_EML,143,143,1.00,100.00%
Metadata Contact,2015_EML,2,2,0.01,1.40%
Metadata Use Constraints,2015_EML,143,143,1.00,100.00%
Northernmost Latitude,2015_EML,36,36,0.25,25.17%
Organization Name,2015_EML,156,143,1.09,100.00%
Place Keyword,2015_EML,632,140,4.42,97.90%
Process Step,2015_EML,143,143,1.00,100.00%
Project Name,2015_EML,135,133,0.94,93.01%
Publication Date,2015_EML,34,34,0.24,23.78%
Publisher,2015_EML,1,1,0.01,0.70%
Publisher E-Mail,2015_EML,1,1,0.01,0.70%
Publisher URL,2015_EML,1,1,0.01,0.70%
Purpose,2015_EML,1,1,0.01,0.70%
Resource Access Constraints,2015_EML,143,143,1.00,100.00%
Resource Contact,2015_EML,287,143,2.01,100.00%
Resource Creation/Revision Date,2015_EML,34,34,0.24,23.78%
Resource Distribution,2015_EML,143,143,1.00,100.00%
Resource Format,2015_EML,107,107,0.75,74.83%
Resource Identifier,2015_EML,143,143,1.00,100.00%
Resource Identifier Type,2015_EML,143,143,1.00,100.00%
Resource Language,2015_EML,34,34,0.24,23.78%
Resource Lineage,2015_EML,143,143,1.00,100.00%
Resource Long Name,2015_EML,143,143,1.00,100.00%
Resource Status,2015_EML,143,143,1.00,100.00%
Resource Title,2015_EML,143,143,1.00,100.00%
Resource Update Frequency,2015_EML,9,9,0.06,6.29%
Resource Use Constraints,2015_EML,12,12,0.08,8.39%
Resource on-line Link,2015_EML,143,143,1.00,100.00%
Rights,2015_EML,12,12,0.08,8.39%
Security Constraints,2015_EML,143,143,1.00,100.00%
Southernmost Latitude,2015_EML,36,36,0.25,25.17%
Spatial Extent,2015_EML,36,36,0.25,25.17%
Start Time,2015_EML,138,138,0.97,96.50%
Supplemental Information,2015_EML,15,15,0.10,10.49%
Temporal Extent,2015_EML,139,139,0.97,97.20%
Unknown,2015_EML,21469,143,150.13,100.00%
Westernmost Longitude,2015_EML,36,36,0.25,25.17%
