XPath,KNZ_2005_EML,KNZ_2006_EML,KNZ_2008_EML,KNZ_2012_EML,KNZ_2015_EML,KNZ_2016_EML,KNZ_2017_EML,KNZ_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.18,0.0,0.0,0.0,0.79,0.02,0.99,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.36,0.0,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,0.36,0.0,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.8
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.68,3.0,0.0,0.0,0.0,0.0,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,1.23,3.0,0.0,0.0,2.17,2.17,0.53,1.2
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,1.23,3.0,0.0,0.0,2.17,2.17,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,1.23,3.0,0.0,0.0,2.17,2.17,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,1.23,3.0,0.0,0.0,2.17,2.17,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,1.23,3.0,0.0,0.0,2.17,2.17,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
/eml:eml/additionalMetadata/stmml:unitList/@convention,0.41,0.0,0.5,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,1.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,1.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,1.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@name,1.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@parentSI,1.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@unitType,1.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@id,0.0,0.0,0.0,0.0,0.25,0.07,0.0,0.0
/eml:eml/dataset/@scope,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@system,0.0,0.0,0.0,0.0,0.25,0.07,0.0,0.0
/eml:eml/dataset/abstract/para,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.0
/eml:eml/dataset/abstract/para/literalLayout,0.0,0.0,0.0,0.0,0.2,0.12,0.01,0.0
/eml:eml/dataset/abstract/section/para,1.0,1.0,1.0,1.0,0.76,0.83,0.0,0.0
/eml:eml/dataset/abstract/section/para/literalLayout,0.0,0.0,0.0,0.0,0.01,0.01,0.98,1.0
/eml:eml/dataset/access/@authSystem,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,1.64,2.0,2.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,1.64,2.0,2.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.09,0.0,0.0,0.0,0.03,0.03,0.05,0.2
/eml:eml/dataset/additionalInfo/section/para,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para/literalLayout,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0
/eml:eml/dataset/additionalInfo/section/title,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,0.96,0.96,0.99,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0
/eml:eml/dataset/associatedParty/address/administrativeArea,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/address/city,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/address/country,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/address/postalCode,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/electronicMailAddress,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/individualName/surName,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0
/eml:eml/dataset/associatedParty/organizationName,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/phone,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
/eml:eml/dataset/associatedParty/phone/@phonetype,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
/eml:eml/dataset/associatedParty/role,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0
/eml:eml/dataset/contact/@id,0.55,1.0,1.0,1.0,0.92,0.98,0.01,0.0
/eml:eml/dataset/contact/@scope,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.36,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,0.55,1.0,1.0,1.0,1.69,1.99,0.75,0.8
/eml:eml/dataset/contact/address/city,0.55,1.0,1.0,1.0,1.69,1.99,0.75,0.8
/eml:eml/dataset/contact/address/country,0.0,0.0,0.0,0.0,0.77,1.01,0.75,0.8
/eml:eml/dataset/contact/address/deliveryPoint,1.09,2.0,2.0,2.0,3.3,3.97,0.76,0.8
/eml:eml/dataset/contact/address/postalCode,0.55,1.0,1.0,1.0,1.69,1.99,0.75,0.8
/eml:eml/dataset/contact/electronicMailAddress,0.55,1.0,1.0,1.0,1.69,1.99,0.75,0.8
/eml:eml/dataset/contact/individualName/givenName,0.0,0.0,0.0,0.0,0.01,0.0,0.75,0.8
/eml:eml/dataset/contact/individualName/surName,0.27,0.0,0.0,0.0,0.01,0.0,0.75,0.8
/eml:eml/dataset/contact/onlineUrl,0.55,1.0,1.0,1.0,1.61,1.99,0.99,1.0
/eml:eml/dataset/contact/organizationName,0.0,0.0,0.0,0.0,1.22,1.02,0.29,0.2
/eml:eml/dataset/contact/phone,1.09,2.0,2.0,2.0,3.31,3.97,0.75,0.8
/eml:eml/dataset/contact/phone/@phonetype,1.09,2.0,2.0,2.0,3.31,3.97,0.75,0.8
/eml:eml/dataset/contact/positionName,0.55,1.0,1.0,1.0,2.13,1.98,0.01,0.0
/eml:eml/dataset/coverage/@scope,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@id,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,0.0,0.0,0.0,0.25,1.13,3.29,12.2
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.0,0.0,0.0,0.0,0.25,1.13,3.29,12.2
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.0,0.0,0.0,0.0,0.25,1.13,3.29,12.2
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.0,0.0,0.0,0.0,0.25,1.13,3.29,12.2
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,0.0,0.0,0.0,0.0,0.25,1.13,3.29,12.2
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,1.0,0.97,0.97,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0,0.97,0.97,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/singleDateTime/calendarDate,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
/eml:eml/dataset/creator/@scope,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.73,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.91,1.0,1.0,0.0,0.94,1.05,1.16,1.0
/eml:eml/dataset/creator/address/city,0.91,1.0,1.0,0.0,0.94,1.05,1.16,1.0
/eml:eml/dataset/creator/address/country,0.91,1.0,1.0,0.0,0.94,1.05,1.16,1.0
/eml:eml/dataset/creator/address/deliveryPoint,0.91,1.0,1.0,0.0,0.94,1.05,1.16,1.0
/eml:eml/dataset/creator/address/postalCode,0.5,1.0,0.5,0.0,0.94,1.05,1.16,1.0
/eml:eml/dataset/creator/electronicMailAddress,0.91,1.0,1.0,0.0,0.94,1.05,1.16,1.0
/eml:eml/dataset/creator/individualName/givenName,2.0,2.0,2.0,0.0,1.94,2.05,1.17,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,0.0,1.02,1.12,1.16,1.0
/eml:eml/dataset/creator/onlineUrl,0.23,0.0,0.5,0.0,0.13,0.01,0.25,0.2
/eml:eml/dataset/creator/phone,0.91,1.0,1.0,0.0,0.97,1.07,1.74,1.4
/eml:eml/dataset/creator/phone/@phonetype,0.77,1.0,1.0,0.0,0.01,0.02,1.84,1.8
/eml:eml/dataset/dataTable/@scope,1.59,1.0,1.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/alternateIdentifier,1.91,1.0,1.0,2.0,1.25,1.27,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,24.5,7.0,15.5,30.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,31.64,7.0,15.5,30.0,20.71,20.89,22.23,44.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.0,0.0,0.0,0.0,0.07,0.62,22.23,44.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,32.09,7.0,15.5,30.0,20.71,20.89,22.23,44.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum/@exclusive,0.86,0.0,0.0,0.0,3.83,3.53,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum/@exclusive,0.86,0.0,0.0,0.0,3.83,3.53,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,0.86,0.0,0.0,0.0,3.83,3.53,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.86,0.0,0.0,0.0,3.85,3.57,2.94,5.8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/bounds/maximum/@exclusive,5.0,3.0,2.5,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/bounds/minimum/@exclusive,5.0,3.0,2.5,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimePrecision,2.09,3.0,2.5,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,4.41,3.0,2.5,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum/@exclusive,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum/@exclusive,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,4.41,1.0,1.0,0.0,2.17,1.9,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,4.41,1.0,1.0,0.0,2.17,1.9,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,4.41,1.0,1.0,0.0,2.17,1.9,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,22.23,0.0,7.0,0.0,23.07,23.66,18.48,18.8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,22.23,0.0,7.0,0.0,23.07,23.66,18.48,18.8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,5.36,2.0,3.0,5.0,5.92,5.75,9.76,14.2
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,0.95,0.0,0.0,0.0,0.0,0.06,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,0.95,0.0,0.0,0.0,0.0,0.06,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,14.59,1.0,7.0,24.0,7.38,7.99,7.94,21.6
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,14.59,1.0,7.0,24.0,7.34,7.87,5.83,19.2
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.84,2.6
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,14.59,1.0,7.0,24.0,7.38,7.99,7.1,19.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,0.45,0.0,0.0,0.0,0.2,0.26,0.47,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,0.45,0.0,0.0,0.0,0.2,0.26,0.47,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,32.09,4.0,15.5,30.0,20.7,20.82,14.29,22.4
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,24.5,7.0,15.5,30.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/coverage/@scope,0.45,1.0,0.5,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/geographicDescription,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/@scope,0.45,1.0,0.5,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.55,1.0,0.5,2.0,0.83,0.94,0.13,0.6
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.55,1.0,0.5,2.0,0.83,0.94,0.13,0.6
/eml:eml/dataset/dataTable/entityDescription,1.68,1.0,1.0,2.0,1.26,1.28,1.32,2.6
/eml:eml/dataset/dataTable/entityName,0.41,0.5,0.0,2.0,1.26,1.28,1.34,2.6
/eml:eml/dataset/dataTable/methods/methodStep/description/section/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6
/eml:eml/dataset/dataTable/methods/qualityControl/description/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
/eml:eml/dataset/dataTable/physical/@scope,0.32,1.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,0.64,1.0,0.0,2.0,1.26,1.28,1.34,2.6
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,0.64,1.0,0.0,2.0,1.26,1.28,1.34,2.6
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,0.64,1.0,0.0,2.0,1.26,1.28,1.24,2.6
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/collapseDelimiters,0.64,1.0,0.0,2.0,1.26,1.27,0.0,0.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,0.64,1.0,0.0,2.0,1.26,1.28,1.34,2.6
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,0.64,1.0,0.0,2.0,1.26,1.28,1.13,2.6
/eml:eml/dataset/dataTable/physical/distribution/@scope,0.32,1.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,0.64,1.0,0.0,2.0,1.26,1.28,1.34,2.6
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,0.32,1.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/encodingMethod,0.64,1.0,0.0,2.0,1.25,1.27,0.0,0.0
