Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,LUQ_2016_EML,8.0,8.0,1.0,1.0
Resource Identifier,LUQ_2016_EML,8.0,8.0,1.0,1.0
Resource Title,LUQ_2016_EML,8.0,8.0,1.0,1.0
Author / Originator,LUQ_2016_EML,8.0,8.0,1.0,1.0
Metadata Contact,LUQ_2016_EML,5.0,5.0,0.62,0.625
Contributor Name,LUQ_2016_EML,24.0,8.0,3.0,1.0
Publisher,LUQ_2016_EML,1.0,1.0,0.12,0.125
Publication Date,LUQ_2016_EML,8.0,8.0,1.0,1.0
Resource Contact,LUQ_2016_EML,19.0,8.0,2.38,1.0
Abstract,LUQ_2016_EML,8.0,8.0,1.0,1.0
Keyword,LUQ_2016_EML,125.0,8.0,15.62,1.0
Resource Distribution,LUQ_2016_EML,8.0,8.0,1.0,1.0
Spatial Extent,LUQ_2016_EML,14.0,7.0,1.75,0.875
Taxonomic Extent,LUQ_2016_EML,0.0,0.0,0.0,0.0
Temporal Extent,LUQ_2016_EML,8.0,8.0,1.0,1.0
Maintenance,LUQ_2016_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,LUQ_2016_EML,8.0,8.0,1.0,1.0
Process Step,LUQ_2016_EML,8.0,8.0,1.0,1.0
Project Description,LUQ_2016_EML,0.0,0.0,0.0,0.0
Entity Type Definition,LUQ_2016_EML,21.0,8.0,2.62,1.0
Attribute Definition,LUQ_2016_EML,271.0,8.0,33.88,1.0
Resource Access Constraints,LUQ_2016_EML,8.0,8.0,1.0,1.0
Resource Format,LUQ_2016_EML,21.0,8.0,2.62,1.0
Attribute List,LUQ_2016_EML,21.0,8.0,2.62,1.0
Attribute Constraints,LUQ_2016_EML,0.0,0.0,0.0,0.0
Resource Quality Description,LUQ_2016_EML,0.0,0.0,0.0,0.0
