Collection,Record,Resource Quality Description,Unknown
2009,355.1.xml,1.0,411.0
2009,356.1.xml,1.0,409.0
2009,357.1.xml,1.0,569.0
2009,357.3.xml,1.0,569.0
2009,359.3.xml,1.0,420.0
2009,360.1.xml,1.0,466.0
2009,363.5.xml,1.0,423.0
2009,365.4.xml,0.0,442.0
2009,366.3.xml,1.0,455.0
2009,371.5.xml,1.0,346.0
2009,374.1.xml,1.0,343.0
2009,375.5.xml,1.0,347.0
2009,378.1.xml,1.0,344.0
2009,379.1.xml,1.0,491.0
2009,379.5.xml,1.0,493.0
2009,380.1.xml,1.0,508.0
2009,381.1.xml,1.0,584.0
2009,381.3.xml,1.0,585.0
2009,381.4.xml,1.0,585.0
2009,382.1.xml,1.0,651.0
2009,383.1.xml,1.0,654.0
2009,385.2.xml,1.0,346.0
2009,387.6.xml,1.0,349.0
2009,390.1.xml,1.0,393.0
2009,390.2.xml,1.0,393.0
2009,391.1.xml,1.0,406.0
2009,392.1.xml,1.0,593.0
2009,392.2.xml,1.0,593.0
2009,393.1.xml,1.0,378.0
2009,393.2.xml,1.0,474.0
2009,393.4.xml,1.0,475.0
2009,393.5.xml,1.0,475.0
2009,394.1.xml,0.0,408.0
2009,394.2.xml,0.0,408.0
2009,394.4.xml,0.0,409.0
2009,394.5.xml,0.0,409.0
2009,395.1.xml,1.0,409.0
2009,395.3.xml,1.0,410.0
2009,395.4.xml,1.0,410.0
2009,395.5.xml,1.0,410.0
2009,396.1.xml,1.0,411.0
2009,396.3.xml,1.0,412.0
2009,397.1.xml,1.0,379.0
2009,398.1.xml,1.0,377.0
2009,398.2.xml,1.0,372.0
2009,398.4.xml,1.0,373.0
2009,399.1.xml,1.0,378.0
2009,399.3.xml,1.0,372.0
2009,400.1.xml,1.0,379.0
2009,400.3.xml,1.0,373.0
2009,401.1.xml,1.0,379.0
2009,401.2.xml,1.0,371.0
2009,401.5.xml,1.0,372.0
2009,402.2.xml,1.0,345.0
2009,402.4.xml,1.0,346.0
2009,403.1.xml,1.0,344.0
2009,403.2.xml,1.0,346.0
2009,404.4.xml,1.0,349.0
2009,404.5.xml,1.0,349.0
2009,406.3.xml,1.0,349.0
