Collection,Record,Resource Quality Description,Unknown
2008,298.3.xml,1.0,571.0
2008,299.4.xml,1.0,416.0
2008,301.2.xml,1.0,383.0
2008,303.1.xml,1.0,462.0
2008,303.4.xml,1.0,463.0
2008,304.1.xml,1.0,431.0
2008,304.5.xml,1.0,432.0
2008,306.1.xml,1.0,436.0
2008,308.1.xml,1.0,426.0
2008,310.1.xml,1.0,404.0
2008,313.1.xml,1.0,381.0
2008,318.2.xml,1.0,399.0
2008,320.1.xml,1.0,284.0
2008,323.1.xml,0.0,446.0
2008,325.6.xml,1.0,453.0
2008,334.4.xml,1.0,579.0
2008,339.1.xml,1.0,322.0
2008,340.1.xml,1.0,321.0
2008,341.1.xml,1.0,321.0
2008,341.2.xml,1.0,321.0
2008,341.5.xml,1.0,322.0
2008,342.1.xml,1.0,324.0
2008,343.1.xml,1.0,324.0
2008,344.1.xml,1.0,324.0
2008,345.1.xml,1.0,354.0
2008,346.1.xml,0.0,515.0
2008,348.1.xml,1.0,535.0
2008,351.4.xml,1.0,345.0
2008,354.1.xml,1.0,349.0
