XPath,FCE_2005_EML,FCE_2006_EML,FCE_2007_EML,FCE_2008_EML,FCE_2009_EML,FCE_2010_EML,FCE_2011_EML,FCE_2012_EML,FCE_2013_EML,FCE_2014_EML,FCE_2015_EML,FCE_2016_EML,FCE_2017_EML,FCE_2018_EML
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetAnomolies/anomolies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176471,0.3654223968565815,0.0,0.3946188340807175,0.30303030303030304,0.4166666666666667,0.0
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetInfoManagementNotes/notes,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.9548133595284872,0.56,0.9439461883408072,0.9393939393939394,0.9166666666666666,0.8571428571428571
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetPurpose/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07858546168958742,0.08,0.09192825112107623,0.12121212121212123,0.125,0.07142857142857142
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetSubmissionNotes/notes,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.05882352941176471,0.6856581532416502,0.04,0.6053811659192825,0.7575757575757576,0.5208333333333334,0.5
/eml:eml/additionalMetadata/metadata/additionalDataset/projectHypotheses/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176471,0.4106090373280943,0.08,0.4753363228699552,0.3636363636363637,0.5625,0.14285714285714285
/eml:eml/additionalMetadata/metadata/additionalDataset/projectPermits/permit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176471,0.3693516699410609,0.56,0.4192825112107623,0.30303030303030304,0.5625,0.5
/eml:eml/additionalMetadata/metadata/additionalDataset/researchType,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.05882352941176471,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02083333333333333,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.05882352941176471,0.6070726915520629,0.32,0.6412556053811659,0.42424242424242425,0.6875,0.6428571428571429
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.05882352941176471,0.6070726915520629,0.32,0.6412556053811659,0.42424242424242425,0.6875,0.6428571428571429
