Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2011_EML,77,77,1.00,100.00%
Abstract,2011_EML,2,2,0.03,2.60%
Attribute Definition,2011_EML,72,2,0.94,2.60%
Attribute List,2011_EML,2,2,0.03,2.60%
Author,2011_EML,2,2,0.03,2.60%
Author / Originator,2011_EML,2,2,0.03,2.60%
Author / Originator Email Address,2011_EML,2,2,0.03,2.60%
Author / Originator World Wide Web Address,2011_EML,2,2,0.03,2.60%
Bounding Box,2011_EML,4,2,0.05,2.60%
Contributor Name,2011_EML,2,2,0.03,2.60%
Contributor Role,2011_EML,2,2,0.03,2.60%
Distribution Format,2011_EML,2,2,0.03,2.60%
Easternmost Longitude,2011_EML,4,2,0.05,2.60%
End Time,2011_EML,2,2,0.03,2.60%
Entity Type Definition,2011_EML,2,2,0.03,2.60%
Entity and Attribute Information,2011_EML,2,2,0.03,2.60%
Instrument,2011_EML,12,2,0.16,2.60%
Keyword,2011_EML,48,2,0.62,2.60%
Keyword Vocabulary,2011_EML,2,2,0.03,2.60%
Maintenance,2011_EML,2,2,0.03,2.60%
Metadata Access Constraints,2011_EML,2,2,0.03,2.60%
Metadata Contact,2011_EML,4,2,0.05,2.60%
Metadata Modified Date,2011_EML,2,2,0.03,2.60%
Metadata Use Constraints,2011_EML,2,2,0.03,2.60%
Northernmost Latitude,2011_EML,4,2,0.05,2.60%
Organization Name,2011_EML,14,2,0.18,2.60%
Originating Organization,2011_EML,2,2,0.03,2.60%
Process Step,2011_EML,2,2,0.03,2.60%
Project Name,2011_EML,2,2,0.03,2.60%
Publication Date,2011_EML,2,2,0.03,2.60%
Publisher,2011_EML,2,2,0.03,2.60%
Publisher E-Mail,2011_EML,2,2,0.03,2.60%
Publisher URL,2011_EML,2,2,0.03,2.60%
Resource Access Constraints,2011_EML,2,2,0.03,2.60%
Resource Contact,2011_EML,4,2,0.05,2.60%
Resource Creation/Revision Date,2011_EML,4,2,0.05,2.60%
Resource Distribution,2011_EML,2,2,0.03,2.60%
Resource Format,2011_EML,2,2,0.03,2.60%
Resource Identifier,2011_EML,2,2,0.03,2.60%
Resource Identifier Type,2011_EML,2,2,0.03,2.60%
Resource Lineage,2011_EML,2,2,0.03,2.60%
Resource Long Name,2011_EML,2,2,0.03,2.60%
Resource Quality Description,2011_EML,74,74,0.96,96.10%
Resource Revision Date,2011_EML,2,2,0.03,2.60%
Resource Status,2011_EML,2,2,0.03,2.60%
Resource Title,2011_EML,2,2,0.03,2.60%
Resource Use Constraints,2011_EML,2,2,0.03,2.60%
Resource on-line Link,2011_EML,2,2,0.03,2.60%
Rights,2011_EML,2,2,0.03,2.60%
Security Constraints,2011_EML,2,2,0.03,2.60%
Southernmost Latitude,2011_EML,4,2,0.05,2.60%
Spatial Extent,2011_EML,4,2,0.05,2.60%
Start Time,2011_EML,2,2,0.03,2.60%
Temporal Extent,2011_EML,2,2,0.03,2.60%
Unknown,2011_EML,27205,77,353.31,100.00%
Westernmost Longitude,2011_EML,4,2,0.05,2.60%
