XPath,NWT_2005_EML,NWT_2006_EML,NWT_2007_EML,NWT_2010_EML,NWT_2013_EML,NWT_2015_EML,NWT_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,0.0,0.5278969957081545,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.1337579617834395,0.0,0.5833333333333334,0.0,1.0,1.0,1.0
/eml:eml/access/@order,0.1337579617834395,0.0,0.5833333333333334,0.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.1337579617834395,0.0,0.5833333333333334,0.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.1337579617834395,0.0,0.5833333333333334,0.0,1.0,1.0,1.0
/eml:eml/access/allow/principal,0.1337579617834395,0.0,0.5833333333333334,0.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.012738853503184714,0.0,0.0,0.0,0.0,0.008583690987124462,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.006369426751592357,0.0,0.0,0.0,0.0,0.004291845493562232,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.012738853503184714,0.0,0.0,0.0,0.0,0.008583690987124462,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.012738853503184714,0.0,0.0,0.0,0.0,0.008583690987124462,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.006369426751592357,0.0,0.0,0.0,0.0,0.004291845493562232,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.012738853503184714,0.0,0.0,0.0,0.0,0.008583690987124462,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.012738853503184714,0.0,0.0,0.0,0.0,0.008583690987124462,0.5
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.044585987261146494,0.0,0.0,0.0,0.0,0.2618025751072961,0.25
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,0.044585987261146494,0.0,0.0,0.0,0.0,0.2618025751072961,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,0.0,0.0,0.0,0.0,0.0,0.0,0.25
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.044585987261146494,0.0,0.0,0.0,0.0,0.2618025751072961,0.25
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,0.044585987261146494,0.0,0.0,0.0,0.0,0.2618025751072961,0.25
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,0.044585987261146494,0.0,0.0,0.0,0.0,0.2618025751072961,0.25
/eml:eml/additionalMetadata/metadata/unitList/unit/description,0.044585987261146494,0.0,0.0,0.0,0.0,0.2618025751072961,0.25
