XPath,NWT_2005_EML,NWT_2006_EML,NWT_2007_EML,NWT_2010_EML,NWT_2013_EML,NWT_2015_EML,NWT_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,0.0,0.53,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.13,0.0,0.58,0.0,1.0,1.0,1.0
/eml:eml/access/@order,0.13,0.0,0.58,0.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.13,0.0,0.58,0.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.27,0.0,1.17,0.0,2.0,2.0,2.75
/eml:eml/access/allow/principal,0.27,0.0,1.17,0.0,2.0,2.0,2.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.01,0.0,0.0,0.0,0.0,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.01,0.0,0.0,0.0,0.0,0.01,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.01,0.0,0.0,0.0,0.0,0.01,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.01,0.0,0.0,0.0,0.0,0.01,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.01,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.01,0.0,0.0,0.0,0.0,0.01,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.01,0.0,0.0,0.0,0.0,0.01,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.27,0.0,0.0,0.0,0.0,0.79,1.75
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,0.27,0.0,0.0,0.0,0.0,0.79,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,0.0,0.0,0.0,0.0,0.0,0.0,1.75
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.27,0.0,0.0,0.0,0.0,0.79,1.75
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,0.27,0.0,0.0,0.0,0.0,0.79,1.75
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,0.27,0.0,0.0,0.0,0.0,0.79,1.75
/eml:eml/additionalMetadata/metadata/unitList/unit/description,0.27,0.0,0.0,0.0,0.0,0.79,1.75
/eml:eml/additionalMetadata/unitList/unit/@id,0.61,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@multiplerToSI,0.61,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@name,0.61,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@parentSI,0.61,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@unitType,0.61,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/description,0.61,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@id,0.0,0.0,0.0,0.0,0.0,0.45,0.0
/eml:eml/dataset/@scope,0.92,1.0,0.42,1.0,0.0,0.4,0.25
/eml:eml/dataset/@system,0.0,0.0,0.0,0.0,0.0,0.45,0.0
/eml:eml/dataset/abstract/para,1.05,1.0,1.58,1.0,1.0,1.3,1.0
